Miseq_run,sample,Hash,nReads
3,SA_201705A.2,75fd1ff23e1ea72ee995ac8f05e3d06df730398b,5
7,PO_201807A.1,a2ff1100fbeeef72396a45de25f567e5c026fc24,8
1,LL_201703A.1,32162e451e12cdf5cf3628007e99b0efa1ba946b,1929
4,FH_201709B.2,fe5532dc898fea894ac5e516cde2a2fb1565bb89,45
4,CP_201709C.1,b985bd256d8d431d64480963abbd05efc83a1ded,53
6,PO_201711A.3,7407b9d4fe1af0032dd57f9aa8f925d8eacef68f,9
1,LL_201703A.1,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,23
6,PO_201711C.3,a318b5b4b76abc8a009bff4063cc65f94f68f7b6,135
6,LL_201709C.3,0959216911c2a42646efe7ee05b06168cbecdc88,778
6,PO_201709C.3,90ce073871b381e7647321b5e1f8cf94a51323a6,644
5,FH_201706B.2,b3b7552ad4cb087f2533f45f05c840503002203e,410
4,FH_201709B.3,5f5bb6660e2c5adb49e557301328cd9120127044,14
7,SA_201805C.3,e99d1668c1d0134c149b205d148ef407abb3e995,1129
6,LK_201707C.2,53ef3bf43f9a9995f44cff3eb621e685f43dd887,6
7,SA_201803B.1,17585e5fc601ba25d02d211cce3435af5a395c4d,44
3,PO_201706A.2,639e15fedb520667557d6e2ca6d2c4764a1c8bd5,87
8,CP_201805A.2,ae3eb63414d8c1bb606efb9cb03881f29fd8027b,12
4,CP_201710C.2,c098ad5ce38196fc2bb4a901b8f826e05a4f7283,11
7,TR_201807B.3,f6d8419fb1bae74e6b47e71e101be681b3cad570,53
4,CP_201711B.2,ef58fe9819f05f8ed8d0d5eefa403637f33fb10c,272
1,LL_201703F.2,e294b257e9eaf219586d0deec990b0d66720bb9b,21389
8,CP_201807C.3,afafeeae87189878be4897ec71bea2594558f819,11
3,LL_201706C.1,8790d1dec74eaaad4222d42eb6e01b66061a877e,256
7,TR_201801C.2,3e967b2cb1139cdab2f062fe0005898007a2d247,44
5,LK_201707A.1,cefb48e899a9ebe414d4e90301cc4f88e237b3af,44
1,LL_201703F.2,efb0dd1eaf3e297913bbe6f68900d0f182ae70f7,19
6,PO_201711A.1,0cb9ccfcbf2bd84b2daab0a2eaec99032c594f94,4315
3,TW_201705C.2,4da92548695cf2fbf24f2bdbf62ae15f3f40d254,974
1,TW_201703B.1,0b7bbe68869fb910c96bc0f8ece5d30104ef68f1,22
8,CP_201807C.3,9fcc8bd26700a6f530c635aa2d9e9b49d6732233,23
4,FH_201709B.3,3fc9f2c69972597c84f6f0faac14043614820403,139
7,TW_201807A.1,cccf695db35ac9caeedd9e09360089c98e2630c4,89
7,TR_201807A.3,ff5a51ef5ee096f56a24fa7d9800ef2994661b67,30
4,LK_201710A.3,368b8f3f0ed5b43938e5522cc07b7db6844833df,18
6,TR_201709C.2,9ebd0bcbae3f4ee1f10ba13d858e85af17744e67,108
6,CP_201707A.3,6d6da6b90b7ea34c197d993e4c719edf6ad22d41,4
4,LK_201709C.1,433f1af44603d12596cb3c6f0ef504ea0fde6884,1235
4,FH_201710B.2,c770016f14d297194d21859a099a36519b97635a,453
8,LK_201807C.2,5ea3e5f9f5b217b39bc303871d907b6536ed24fa,344
7,TR_201801C.2,c97e203113b40b77e44612c1d6e835474a9ddfac,235
6,PO_201711A.3,ac53cc3e81ed7a2ea3488838df824d0b36f59875,52
2,PO_201708A.2,60f9a356651dd48c6e9062a4cb4bb599df9fe5b9,72
4,LK_201711C.1,1be582f4864bb68faa5cc5f7218171f26c3076b0,14
4,CP_201710A.2,002a187818f5b5ea446f184855614a3d2fa69835,9
4,CP_201709C.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1168
7,SA_201807C.1,60c143a0a297ec7a9e77c7427607c13b95e356c1,496
3,SA_201705A.2,135564e9c33f7abcb19bbdbfc571af0ea2c77f82,101
2,SA_201708C.3,10d104a255851888626f9885b0f9599429e5145e,5
2,TR_201708C.3,ee65f338c0677ea6b4255f8e4c679526cbb3f3ef,636
1,PO_201703D.2,0092f101a5c9bf67c1f9efef6682591d5a5b894e,33
5,PO_201711A.2,2c71fe4872f2904635f1b2fdc982d357da18e456,511
6,FH_201707B.2,b9e82298bdb5889cf6a09180286d947d8f73f522,46
1,PO_201703E.3,6c8a24dc9a68fb951192b9d67b123b76ef14c802,1239
6,TR_201711C.3,f9a42d9c17ba5ebb2b0d17a84b3d730522311e3d,251
